x,empirical_P(U>x),theoretical_P(U>x),abs_error
0.75,0.25074,0.25,0.00074
0.7525,0.24796,0.2475,0.00046
0.755,0.24549,0.245,0.00049
0.7575,0.24297,0.2425,0.00047
0.76,0.24051,0.24,0.00051
0.7625,0.23798,0.2375,0.00048
0.765,0.23546,0.235,0.00046
0.7675,0.23331,0.2325,0.00081
0.77,0.23095,0.23,0.00095
0.7725,0.22832,0.2275,0.00082
0.775,0.22576,0.225,0.00076
0.7775,0.22325,0.2225,0.00075
0.78,0.22068,0.22,0.00068
0.7825,0.21838,0.2175,0.00088
0.785,0.21563,0.215,0.00063
0.7875,0.21318,0.2125,0.00068
0.79,0.2109,0.21,0.0009
0.7925,0.20835,0.2075,0.00085
0.795,0.20581,0.205,0.00081
0.7975,0.20334,0.2025,0.00084
0.8,0.20073,0.2,0.00073
0.8025,0.1984,0.1975,0.0009
0.805,0.19567,0.195,0.00067
0.8075,0.19305,0.1925,0.00055
0.81,0.19062,0.19,0.00062
0.8125,0.18806,0.1875,0.00056
0.815,0.18534,0.185,0.00034
0.8175,0.18292,0.1825,0.00042
0.82,0.18025,0.18,0.00025
0.8225,0.1778,0.1775,0.0003
0.825,0.17534,0.175,0.00034
0.8275,0.17276,0.1725,0.00026
0.83,0.17009,0.17,9e-05
0.8325,0.16765,0.1675,0.00015
0.835,0.16509,0.165,9e-05
0.8375,0.16266,0.1625,0.00016
0.84,0.16022,0.16,0.00022
0.8425,0.15784,0.1575,0.00034
0.845,0.15551,0.155,0.00051
0.8475,0.15318,0.1525,0.00068
0.85,0.1506,0.15,0.0006
0.8525,0.14813,0.1475,0.00063
0.855,0.14582,0.145,0.00082
0.8575,0.14315,0.1425,0.00065
0.86,0.14077,0.14,0.00077
0.8625,0.13843,0.1375,0.00093
0.865,0.13585,0.135,0.00085
0.8675,0.13311,0.1325,0.00061
0.87,0.13044,0.13,0.00044
0.8725,0.12774,0.1275,0.00024
0.875,0.12522,0.125,0.00022
0.8775,0.12285,0.1225,0.00035
0.88,0.11992,0.12,8e-05
0.8825,0.11696,0.1175,0.00054
0.885,0.11451,0.115,0.00049
0.8875,0.11215,0.1125,0.00035
0.89,0.11007,0.11,7e-05
0.8925,0.10786,0.1075,0.00036
0.895,0.10567,0.105,0.00067
0.8975,0.10326,0.1025,0.00076
0.9,0.10069,0.1,0.00069
0.9025,0.09801,0.0975,0.00051
0.905,0.09558,0.095,0.00058
0.9075,0.09299,0.0925,0.00049
0.91,0.09039,0.09,0.00039
0.9125,0.08785,0.0875,0.00035
0.915,0.08552,0.085,0.00052
0.9175,0.08294,0.0825,0.00044
0.92,0.08031,0.08,0.00031
0.9225,0.07757,0.0775,7e-05
0.925,0.07503,0.075,3e-05
0.9275,0.07242,0.0725,8e-05
0.93,0.06969,0.07,0.00031
0.9325,0.06724,0.0675,0.00026
0.935,0.06448,0.065,0.00052
0.9375,0.06215,0.0625,0.00035
0.94,0.0598,0.06,0.0002
0.9425,0.0572,0.0575,0.0003
0.945,0.05462,0.055,0.00038
0.9475,0.05246,0.0525,4e-05
0.95,0.04999,0.05,1e-05
0.9525,0.0477,0.0475,0.0002
0.955,0.04533,0.045,0.00033
0.9575,0.04286,0.0425,0.00036
0.96,0.04053,0.04,0.00053
0.9625,0.03792,0.0375,0.00042
0.965,0.0355,0.035,0.0005
0.9675,0.03316,0.0325,0.00066
0.97,0.03038,0.03,0.00038
0.9725,0.02805,0.0275,0.00055
0.975,0.02533,0.025,0.00033
0.9775,0.0231,0.0225,0.0006
0.98,0.02064,0.02,0.00064
0.9825,0.01791,0.0175,0.00041
0.985,0.01522,0.015,0.00022
0.9875,0.01282,0.0125,0.00032
0.99,0.01046,0.01,0.00046
0.9925,0.00791,0.0075,0.00041
0.995,0.00542,0.005,0.00042
0.9975,0.00251,0.0025,1e-05
