x,empirical_P(X>x),theoretical_P(X>x),abs_error
0.0,1.0,1.0,0.0
0.402,0.96119,0.9605973,0.0005927
0.804,0.92348,0.92274717,0.00073283
1.206,0.88655,0.88638844,0.00016156
1.608,0.85204,0.85146235,0.00057765
2.0101,0.818,0.81790425,9.575e-05
2.4121,0.78609,0.78567662,0.00041338
2.8141,0.7554,0.75471884,0.00068116
3.2161,0.72544,0.72498088,0.00045912
3.6181,0.69623,0.69641467,0.00018467
4.0201,0.66894,0.66897406,3.406e-05
4.4221,0.64253,0.64261467,8.467e-05
4.8241,0.61711,0.61729392,0.00018392
5.2261,0.59217,0.59297087,0.00080087
5.6281,0.56854,0.56960622,0.00106622
6.0302,0.54613,0.54715673,0.00102673
6.4322,0.52517,0.52559727,0.00042727
6.8342,0.50487,0.50488732,1.732e-05
7.2362,0.48551,0.4849934,0.0005166
7.6382,0.46627,0.46588335,0.00038665
8.0402,0.44848,0.44752629,0.00095371
8.4422,0.43067,0.42989254,0.00077746
8.8442,0.41324,0.41295362,0.00028638
9.2462,0.39686,0.39668213,0.00017787
9.6482,0.38125,0.38105178,0.00019822
10.0503,0.36574,0.36603365,0.00029365
10.4523,0.35117,0.35161094,0.00044094
10.8543,0.33733,0.33775652,0.00042652
11.2563,0.3236,0.324448,0.000848
11.6583,0.31068,0.31166387,0.00098387
12.0603,0.29809,0.29938348,0.00129348
12.4623,0.28614,0.28758696,0.00144696
12.8643,0.27496,0.27625526,0.00129526
13.2663,0.26464,0.26537005,0.00073005
13.6683,0.25474,0.25491376,0.00017376
14.0704,0.24445,0.24486702,0.00041702
14.4724,0.23465,0.2352186,0.0005686
14.8744,0.22504,0.22595035,0.00091035
15.2764,0.21616,0.21704729,0.00088729
15.6784,0.20759,0.20849505,0.00090505
16.0804,0.19946,0.20027978,0.00081978
16.4824,0.19124,0.19238821,0.00114821
16.8844,0.18352,0.1848076,0.0012876
17.2864,0.17608,0.17752568,0.00144568
17.6884,0.16895,0.17053069,0.00158069
18.0905,0.16243,0.16380968,0.00137968
