z,pmf_empirical,pmf_theoretical,abs_error
0,2e-05,4.54e-05,2.54e-05
1,0.00042,0.000454,3.4e-05
2,0.00209,0.00227,0.00018
3,0.00721,0.00756665,0.00035665
4,0.01891,0.01891664,6.64e-06
5,0.03727,0.03783327,0.00056327
6,0.06431,0.06305546,0.00125454
7,0.09055,0.09007923,0.00047077
8,0.11131,0.11259903,0.00128903
9,0.12373,0.12511004,0.00138004
10,0.12632,0.12511004,0.00120996
11,0.114,0.1137364,0.0002636
12,0.09329,0.09478033,0.00149033
13,0.07393,0.07290795,0.00102205
14,0.05212,0.0520771,4.29e-05
15,0.03528,0.03471807,0.00056193
16,0.02215,0.02169879,0.00045121
17,0.01247,0.012764,0.000294
18,0.0071,0.00709111,8.89e-06
19,0.00384,0.00373216,0.00010784
20,0.00202,0.00186608,0.00015392
21,0.00097,0.00088861,8.139e-05
22,0.00046,0.00040391,5.609e-05
23,0.0001,0.00017561,7.561e-05
24,9e-05,7.317e-05,1.683e-05
25,3e-05,2.927e-05,7.3e-07
26,1e-05,1.126e-05,1.26e-06
27,0.0,4.17e-06,4.17e-06
28,0.0,1.49e-06,1.49e-06
29,0.0,5.1e-07,5.1e-07
30,0.0,1.7e-07,1.7e-07
