z,empirical_P(Z>z),theoretical_P(Z>z),abs_error
0,0.99998,0.9999546,2.54e-05
1,0.99956,0.9995006,5.94e-05
2,0.99747,0.9972306,0.0002394
3,0.99026,0.98966395,0.00059605
4,0.97135,0.97074731,0.00060269
5,0.93408,0.93291404,0.00116596
6,0.86977,0.86985858,8.858e-05
7,0.77922,0.77977935,0.00055935
8,0.66791,0.66718032,0.00072968
9,0.54418,0.54207029,0.00210971
10,0.41786,0.41696025,0.00089975
11,0.30386,0.30322385,0.00063615
12,0.21057,0.20844352,0.00212648
13,0.13664,0.13553558,0.00110442
14,0.08452,0.08345847,0.00106153
15,0.04924,0.0487404,0.0004996
16,0.02709,0.02704161,4.839e-05
17,0.01462,0.01427761,0.00034239
18,0.00752,0.0071865,0.0003335
19,0.00368,0.00345434,0.00022566
20,0.00166,0.00158826,7.174e-05
21,0.00069,0.00069965,9.65e-06
22,0.00023,0.00029574,6.574e-05
23,0.00013,0.00012012,9.88e-06
24,4e-05,4.695e-05,6.95e-06
25,1e-05,1.768e-05,7.68e-06
26,0.0,6.42e-06,6.42e-06
27,0.0,2.25e-06,2.25e-06
28,0.0,7.6e-07,7.6e-07
29,0.0,2.5e-07,2.5e-07
30,0.0,8e-08,8e-08
