n,analytical_Pn,simulated_Pn,abs_error
0,0.1,0.10015908,0.00015908
1,0.09,0.0908065,0.0008065
2,0.081,0.08113421,0.00013421
3,0.0729,0.07270106,0.00019894
4,0.06561,0.0648801,0.0007299
5,0.059049,0.05881647,0.00023253
6,0.0531441,0.05286832,0.00027578
7,0.04782969,0.04731356,0.00051613
8,0.04304672,0.04293259,0.00011413
9,0.03874205,0.0386692,7.285e-05
10,0.03486784,0.03426897,0.00059887
11,0.03138106,0.03101152,0.00036954
12,0.02824295,0.02840358,0.00016063
13,0.02541866,0.02591847,0.00049981
14,0.02287679,0.02316595,0.00028916
15,0.02058911,0.02070464,0.00011553
16,0.0185302,0.01858784,5.764e-05
17,0.01667718,0.01672391,4.673e-05
18,0.01500946,0.01532466,0.0003152
19,0.01350852,0.01323736,0.00027116
20,0.01215767,0.01191419,0.00024348
21,0.0109419,0.01074651,0.00019539
22,0.00984771,0.00970963,0.00013808
23,0.00886294,0.00873545,0.00012749
24,0.00797664,0.00782969,0.00014695
25,0.00717898,0.00714821,3.077e-05
26,0.00646108,0.00657025,0.00010917
27,0.00581497,0.00586205,4.708e-05
28,0.00523348,0.00508403,0.00014945
29,0.00471013,0.00452439,0.00018574
30,0.00423912,0.00406828,0.00017084
