[0/2] Re-checking globbed directories...
[1/2] Building CXX object scratch/CMakeFiles/scratch_mm1.dir/mm1.cc.o
[2/2] Linking CXX executable /home/sadman_sakib/ns-3/build/scratch/ns3.41-mm1-default
n Pn
0 0.101707
1 0.0920186
2 0.0815577
3 0.0739058
4 0.0662632
5 0.0609449
6 0.0542663
7 0.0487941
8 0.0434398
9 0.0393843
10 0.0353019
11 0.0312283
12 0.0285063
13 0.025546
14 0.0228328
15 0.0206221
16 0.0185038
17 0.0163706
18 0.0141073
19 0.0130125
20 0.0117354
21 0.0105566
22 0.00976436
23 0.00910608
24 0.00801362
25 0.00718077
26 0.00613583
27 0.00541542
28 0.00483589
29 0.0042908
30 0.00395981
